firstName,lastName,dateOfBirth,height,nationalities,positions
Christopher,Kim,1995-05-21,1.63,France,RW|CM
Peter,Best,1995-08-19,1.76,USA|Italy,CDM|LB|ST
John,Carter,2001-03-10,1.87,France,RW
Robert,Davis,2002-08-11,2.09,Germany|USA,ST
Crystal,Eaton,2003-11-30,1.83,Argentina|Germany,RB
Andrea,Luna,1991-04-07,2.02,Italy|Japan,LW|RB
Bonnie,White,1990-09-24,1.79,Brazil|Germany,CM|CB
Robin,Prince,2000-06-13,1.79,France|Nigeria,CAM
Rachael,Jacobs,2001-02-01,1.58,Japan|Spain,CAM|CB
Sierra,Fleming,1997-06-28,1.59,Spain,CB|LB
Jamie,Freeman,1994-08-17,2.07,Spain,LW|RB|CDM
Misty,Long,2003-08-01,1.75,Nigeria,ST
Kathy,Cunningham,1999-05-31,1.85,Germany,CM
Robin,Chung,2006-01-07,1.76,France|Nigeria,ST|LB
Drew,Hicks,1990-08-04,1.99,Spain|Germany,CAM|CM|CDM
Joshua,Bradshaw,2005-02-07,1.76,Germany,CDM
James,Morris,1997-04-23,1.74,Brazil|Spain,LW
Megan,Price,1999-07-16,1.61,France|South Korea,RW|CAM|ST
Michael,Sanders,1998-01-26,1.92,Japan|Brazil,ST|CAM
Patricia,Hanson,2003-01-02,1.58,Brazil,ST
Kenneth,Jackson,2002-10-15,1.73,Nigeria,CB
Jack,Beltran,1999-02-02,1.58,Spain,RW|LB
Jeremy,Lee,1992-05-10,1.57,Argentina,CAM
Kevin,Martin,1990-07-03,1.82,Brazil,RB
Jeremy,Wong,2005-01-20,1.82,Italy,CDM|CB|CAM
Teresa,Kennedy,2005-12-18,2.07,Italy|South Korea,LW|CB|RW
Jackson,Graham,2006-06-11,1.98,Germany,CDM|LB
David,Bradley,1990-10-21,1.84,Italy,CDM
Tracey,Flores,1994-09-13,1.88,Argentina,RB
Jennifer,Pugh,1998-05-26,1.86,Brazil,ST|RB
Adam,Young,2001-03-28,2.07,France|Italy,CDM|CAM
Carol,Mills,1990-10-15,1.8,Japan|France,RW
William,Smith,2005-12-17,1.58,Spain|Argentina,CAM
Richard,Santos,1996-08-16,1.66,Argentina,ST
William,Ruiz,1992-03-27,1.71,Germany|Argentina,CB
Rebecca,Hubbard,1996-05-27,1.76,Italy|Argentina,RB|ST|CAM
Amy,Sanchez,1990-11-24,1.88,Brazil|Italy,CM
Ian,Jones,1998-12-07,1.65,Spain,LB|LW|RB
James,Dennis,1991-06-25,2.04,Argentina|Spain,CB
Martha,Malone,1991-11-01,1.61,Spain|Italy,LW|CM
Catherine,Sanchez,1991-08-15,1.66,South Korea,LB|LW
Dustin,Mahoney,2002-11-26,1.94,Nigeria,CDM|CB|CAM
Craig,Berg,1992-10-26,1.92,USA,CDM
Patrick,Baker,1996-09-16,1.67,Argentina|South Korea,ST
Kathleen,Thomas,2002-04-29,2.09,Brazil|France,CM|RB|ST
Michelle,Weber,2001-06-15,1.86,Japan|Nigeria,CDM|LW|ST
James,Harris,2006-10-22,1.9,Bhutan,RWB
Breanna,Smith,1991-04-19,1.72,Indonesia,CAM;RW;LW
John,Crawford,1998-12-29,1.71,Djibouti;Bahrain,LF;CDM;LWB
Derrick,Carpenter,1992-12-26,1.92,Swaziland,CAM;ST;CDM
Jay,Christian,2003-02-19,1.88,Costa Rica;Peru,CF;LM
Scott,Roth,2006-05-31,1.63,Aruba;Chile,RM;LB
Julie,Robinson,1998-04-17,1.85,Palau,RW;LM
Jasmine,Jefferson,1998-04-24,1.62,Liberia,RW
Mary,Hines,2007-03-12,1.68,Jordan;Botswana,RWB;CB;LW
Amber,Phillips,2002-05-17,1.61,Portugal;Greece,LF
Jacob,Hill,2006-03-29,1.81,Ethiopia,CM;LM
Nicole,Fuentes,1994-11-30,1.63,Cocos (Keeling) Islands;Finland,CAM;RWB;ST
Michelle,Robbins,2002-05-06,1.97,Bhutan;United Arab Emirates,CF;RW;LB
Andrew,Flores,2000-06-20,1.87,American Samoa;Bosnia and Herzegovina,LF;LWB;LW
Andre,Spencer,1998-12-29,1.8,Argentina,RW;CF
Edward,Gomez,1993-05-22,1.94,Azerbaijan;Zambia,CB
William,Coleman,1998-07-23,1.86,Aruba;Samoa,CDM;CAM;CF
Corey,Miller,1992-10-07,1.64,El Salvador,CF
Scott,Munoz,2002-02-05,1.96,Swaziland;Wallis and Futuna,RWB;LW
Tyler,Hall,1993-08-17,1.96,Heard Island and McDonald Islands,RW;ST;RF
Corey,Adams,1997-03-27,1.85,Gibraltar;Guinea-Bissau,LWB;ST;LW
Sarah,Barron,1996-04-13,1.78,Tajikistan;Saudi Arabia,LF;CF;RWB
Jacob,Collins,1997-04-19,1.95,Jamaica,CF;CDM;LW
Melissa,Romero,2005-02-07,1.68,Brazil;Iran,CDM
Lori,Reilly,1999-01-19,1.92,France,CF
